SIM_ID,ks,fl_mu_0,fl_mu_ratio,ftype_proportions_0,bpwr_mu_ratio,preburn_fraction,burn_fibers
DOE_0100011,1.4,0.3,2,0.1,1,0.006,True
DOE_0100020,1.4,0.3,2,0.1,1,0.01,False
DOE_0100021,1.4,0.3,2,0.1,1,0.01,True
DOE_0100100,1.4,0.3,2,0.1,2,0.002,False
DOE_0100101,1.4,0.3,2,0.1,2,0.002,True
DOE_0100110,1.4,0.3,2,0.1,2,0.006,False
DOE_0100111,1.4,0.3,2,0.1,2,0.006,True
DOE_0100120,1.4,0.3,2,0.1,2,0.01,False
DOE_0100121,1.4,0.3,2,0.1,2,0.01,True
DOE_0100200,1.4,0.3,2,0.1,3,0.002,False
DOE_0100201,1.4,0.3,2,0.1,3,0.002,True
DOE_0100210,1.4,0.3,2,0.1,3,0.006,False
DOE_0100211,1.4,0.3,2,0.1,3,0.006,True
DOE_0100220,1.4,0.3,2,0.1,3,0.01,False
DOE_0100221,1.4,0.3,2,0.1,3,0.01,True
DOE_0101000,1.4,0.3,2,0.3,1,0.002,False
DOE_0101001,1.4,0.3,2,0.3,1,0.002,True
DOE_0101010,1.4,0.3,2,0.3,1,0.006,False
DOE_0101011,1.4,0.3,2,0.3,1,0.006,True
DOE_0101020,1.4,0.3,2,0.3,1,0.01,False
DOE_0101021,1.4,0.3,2,0.3,1,0.01,True
DOE_0101100,1.4,0.3,2,0.3,2,0.002,False
DOE_0101101,1.4,0.3,2,0.3,2,0.002,True
DOE_0101110,1.4,0.3,2,0.3,2,0.006,False
DOE_0101111,1.4,0.3,2,0.3,2,0.006,True
DOE_0101120,1.4,0.3,2,0.3,2,0.01,False
DOE_0101121,1.4,0.3,2,0.3,2,0.01,True
DOE_0101200,1.4,0.3,2,0.3,3,0.002,False
DOE_0101201,1.4,0.3,2,0.3,3,0.002,True
DOE_0101210,1.4,0.3,2,0.3,3,0.006,False
DOE_0101211,1.4,0.3,2,0.3,3,0.006,True
DOE_0101220,1.4,0.3,2,0.3,3,0.01,False
DOE_0101221,1.4,0.3,2,0.3,3,0.01,True
DOE_0102000,1.4,0.3,2,0.5,1,0.002,False
DOE_0102001,1.4,0.3,2,0.5,1,0.002,True
DOE_0102010,1.4,0.3,2,0.5,1,0.006,False
DOE_0102011,1.4,0.3,2,0.5,1,0.006,True
DOE_0102020,1.4,0.3,2,0.5,1,0.01,False
DOE_0102021,1.4,0.3,2,0.5,1,0.01,True
DOE_0102100,1.4,0.3,2,0.5,2,0.002,False
DOE_0102101,1.4,0.3,2,0.5,2,0.002,True
DOE_0102110,1.4,0.3,2,0.5,2,0.006,False
DOE_0102111,1.4,0.3,2,0.5,2,0.006,True
DOE_0102120,1.4,0.3,2,0.5,2,0.01,False
DOE_0102121,1.4,0.3,2,0.5,2,0.01,True
DOE_0102200,1.4,0.3,2,0.5,3,0.002,False
DOE_0102201,1.4,0.3,2,0.5,3,0.002,True
DOE_0102210,1.4,0.3,2,0.5,3,0.006,False
DOE_0102211,1.4,0.3,2,0.5,3,0.006,True
DOE_0102220,1.4,0.3,2,0.5,3,0.01,False
DOE_0102221,1.4,0.3,2,0.5,3,0.01,True
DOE_0110000,1.4,0.3,6,0.1,1,0.002,False
DOE_0110001,1.4,0.3,6,0.1,1,0.002,True
DOE_0110010,1.4,0.3,6,0.1,1,0.006,False
DOE_0110011,1.4,0.3,6,0.1,1,0.006,True
DOE_0110020,1.4,0.3,6,0.1,1,0.01,False
DOE_0110021,1.4,0.3,6,0.1,1,0.01,True
DOE_0110100,1.4,0.3,6,0.1,2,0.002,False
DOE_0110101,1.4,0.3,6,0.1,2,0.002,True
DOE_0110110,1.4,0.3,6,0.1,2,0.006,False
DOE_0110111,1.4,0.3,6,0.1,2,0.006,True
DOE_0110120,1.4,0.3,6,0.1,2,0.01,False
DOE_0110121,1.4,0.3,6,0.1,2,0.01,True
DOE_0110200,1.4,0.3,6,0.1,3,0.002,False
DOE_0110201,1.4,0.3,6,0.1,3,0.002,True
DOE_0110210,1.4,0.3,6,0.1,3,0.006,False
DOE_0110211,1.4,0.3,6,0.1,3,0.006,True
DOE_0110220,1.4,0.3,6,0.1,3,0.01,False
DOE_0110221,1.4,0.3,6,0.1,3,0.01,True
DOE_0111000,1.4,0.3,6,0.3,1,0.002,False
DOE_0111001,1.4,0.3,6,0.3,1,0.002,True
DOE_0111010,1.4,0.3,6,0.3,1,0.006,False
DOE_0111011,1.4,0.3,6,0.3,1,0.006,True
DOE_0111020,1.4,0.3,6,0.3,1,0.01,False
DOE_0111021,1.4,0.3,6,0.3,1,0.01,True
DOE_0111100,1.4,0.3,6,0.3,2,0.002,False
DOE_0111101,1.4,0.3,6,0.3,2,0.002,True
DOE_0111110,1.4,0.3,6,0.3,2,0.006,False
DOE_0111111,1.4,0.3,6,0.3,2,0.006,True
DOE_0111120,1.4,0.3,6,0.3,2,0.01,False
DOE_0111121,1.4,0.3,6,0.3,2,0.01,True
DOE_0111200,1.4,0.3,6,0.3,3,0.002,False
DOE_0111201,1.4,0.3,6,0.3,3,0.002,True
DOE_0111210,1.4,0.3,6,0.3,3,0.006,False
DOE_0111211,1.4,0.3,6,0.3,3,0.006,True
DOE_0111220,1.4,0.3,6,0.3,3,0.01,False
DOE_0111221,1.4,0.3,6,0.3,3,0.01,True
DOE_0112000,1.4,0.3,6,0.5,1,0.002,False
DOE_0112001,1.4,0.3,6,0.5,1,0.002,True
DOE_0112010,1.4,0.3,6,0.5,1,0.006,False
DOE_0112011,1.4,0.3,6,0.5,1,0.006,True
DOE_0112020,1.4,0.3,6,0.5,1,0.01,False
DOE_0112021,1.4,0.3,6,0.5,1,0.01,True
DOE_0112100,1.4,0.3,6,0.5,2,0.002,False
DOE_0112101,1.4,0.3,6,0.5,2,0.002,True
DOE_0112110,1.4,0.3,6,0.5,2,0.006,False
DOE_0112111,1.4,0.3,6,0.5,2,0.006,True
DOE_0112120,1.4,0.3,6,0.5,2,0.01,False
DOE_0112121,1.4,0.3,6,0.5,2,0.01,True
DOE_0112200,1.4,0.3,6,0.5,3,0.002,False
DOE_0112201,1.4,0.3,6,0.5,3,0.002,True
DOE_0112210,1.4,0.3,6,0.5,3,0.006,False
DOE_0112211,1.4,0.3,6,0.5,3,0.006,True
DOE_0112220,1.4,0.3,6,0.5,3,0.01,False
DOE_0112221,1.4,0.3,6,0.5,3,0.01,True
DOE_0120000,1.4,0.3,10,0.1,1,0.002,False
DOE_0120001,1.4,0.3,10,0.1,1,0.002,True
DOE_0120010,1.4,0.3,10,0.1,1,0.006,False
DOE_0120011,1.4,0.3,10,0.1,1,0.006,True
DOE_0120020,1.4,0.3,10,0.1,1,0.01,False
DOE_0120021,1.4,0.3,10,0.1,1,0.01,True
DOE_0120100,1.4,0.3,10,0.1,2,0.002,False
